node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
14123,doobybrain.com,3,8170142.0,1.0,157.4,968.0,0.6183
14124,sabq24.ps,3,1187988.0,2.0,220.0,69.0,0.563
14125,chathamhouse.org,3,80272.0,1.4,108.0,1225.0,0.766
14126,wearewily.com,3,5190183.0,1.0,209.0,3.0,0.615
14127,headquartersnumbers.net,3,5043949.0,1.0,53.0,7.0,0.842
14128,mlk50.com,3,1404913.0,3.0,262.0,40.0,0.655
14129,factsfromfiction.blogspot.com,3,2922643.0,2.0,277.6,5.0,0.8320000000000001
14130,anchorbabes.blogspot.com,3,3458810.0,1.4,180.5,24.0,0.601
14131,kendrickbrotherscatalogue.com,3,2302237.0,1.0,186.0,8.0,0.6801999999999999
14132,jimhagedorn.org,3,6702060.0,2.0,139.8,11.0,0.7022
14133,monticello.org,3,122349.0,1.4,137.0,1994.0,0.754
14134,synchronycredit.com,3,4988.0,4.28,180.0,77.0,0.119
14135,mediacloud.wix.com,3,7912.0,1.8,125.0,2.0,0.753
14136,bestwnews.com,3,6867943.0,1.0,99.6,218.0,0.7582
14137,ajel.sa,3,17691.0,2.2,190.0,724.0,0.556
14138,nracarryguard.com,3,2225314.0,1.0,156.0,8.0,0.5568333333333333
14139,aratedcarinsurance.com,3,4111384.0,1.8,105.0,1.0,0.098
14140,joyofkosher.com,3,206217.0,1.8,283.0,356.0,0.471
14141,patrika.com,3,3010.0,2.1,263.0,1229.0,0.353
14142,cirilizovano.blogspot.com,3,1261108.0,7.0,159.6,6.0,0.6378
14143,saftd.org,3,5844464.0,1.0,143.0,12.0,0.5681999999999999
14144,miller-klein.com,3,4562934.6,2.04,178.2,2.0,0.3802
14145,newmediacentral.net,3,2388892.0,2.0,187.93333333333334,51.0,0.7322
14146,obamaprincetonthesis.wordpress.com,3,2983495.933333333,3.5,102.0,17.0,0.5477
14147,campaignforanindependentbritain.org.uk,3,2098524.333333333,2.1,151.5,49.0,0.5415
14148,nctv.nl,3,7429686.0,1.0,58.0,29.0,0.4
14149,retorn.us,3,4442262.75,2.8600000000000003,208.8,5.0,0.4943000000000001
14150,nofba.org,3,4095633.0,1.0,169.0,9.0,0.564
14151,eriecitymission.org,3,3182128.5333333337,1.8199999999999998,104.4,12.0,0.6525000000000001
14152,saynotostigma.com,3,3772596.5,2.2,190.3,18.0,0.5899
14153,ereleases.com,3,83903.0,2.5,166.0,717.0,0.516
14154,taipinginstitute.com,3,4572929.0,1.0,218.6,167.0,0.7922
14155,knowingneurons.com,3,930017.0,3.0,215.0,73.0,0.65
14156,conservativefighters.org,3,513532.0,1.4,180.0,47.0,0.737
