node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate,feat_domain,labelf0,labelf1,labelf2,labelf3
7561,deathpenaltyworldwide.org,3,0.4758373077526552,0.0978935822975997,0.5057388834645316,0.5304345486707732,0.1144927209970304,1,0,0,0,1
7562,socialjusticemclc.org,3,0.609651091058726,-0.5923783453428789,0.722884610431645,-1.2413519823850037,0.3412627478158026,1,0,0,0,1
7563,bedbathandbeyond.com,3,-2.9487023118116946,1.150174787545085,0.6158540627174757,1.98945943433962,-1.3053021054077196,1,0,0,0,1
7564,acupresion.org,3,0.7191294987518184,-0.5923783453428789,-0.8073536895725594,-0.8420892595080064,0.796987101186279,1,0,0,0,1
7565,policebluenation.org,3,0.9738260589192932,-0.1015183079096496,-0.677456477245788,-1.2413519823850037,-0.0983772166121849,1,0,0,0,1
7566,oxfordbibliographies.com,3,-1.1569037464418837,-0.5310208406637251,-0.8037114886868065,1.2596941017322325,1.4528727391743752,1,0,0,0,1
7567,talktools.com,3,-0.1239407583559194,0.3893417295235796,0.3198582193409106,0.2596271981302787,-1.239773113419808,1,0,0,0,1
7568,edsurge.com,3,-1.5591856772058628,-0.1628758125888033,-0.2884357701841323,0.6057092117621531,0.7380110083971585,1,0,0,0,1
7569,torontonews.wordpress.com,3,0.7757643933899594,0.0211967014486576,0.9717985180785932,-1.1159979614673603,0.672482016409247,1,0,0,0,1
7570,freedomcrossroads.com,1,0.9738260589192932,-0.1015183079096496,-0.677456477245788,-1.2413519823850037,-0.0983772166121849,1,0,1,0,0
7571,albankaldawli.org,3,-1.0198019803921867,-0.2855908219471106,-0.0848803387858264,0.7696315623144412,0.38653732409836,1,0,0,0,1
7572,sky.com,3,-2.786948840664537,0.0211967014486576,-0.2483979097231361,2.5046029506254865,0.2554793401225375,1,0,0,0,1
7573,buildyoursnow.weebly.com,3,0.5545799144381824,-0.5923783453428789,0.7527080197186601,-1.2413519823850037,0.3308376809086353,1,0,0,0,1
7574,workableeconomics.com,3,0.5866588538810349,-0.5923783453428789,0.5390981480068245,-0.6024131495710252,0.6344553437859591,1,0,0,0,1
7575,thebrassraillounge.com,3,0.9135458338443784,-0.5310208406637251,0.7771736559431347,-0.7167352385903627,0.0630623909216699,1,0,0,0,1
7576,yalejreg.com,3,0.3100404790050835,-0.5923783453428789,-0.5192078850258514,0.369649205855426,2.2213490997598835,1,0,0,0,1
7577,goredmond.com,3,0.549411680198513,-0.5923783453428789,-0.1584328722630357,-0.8721520777498111,0.7225223375636519,1,0,0,0,1
7578,sohh.com,3,-1.246029090344579,-0.2242333172679569,-0.3019905352036908,1.3074213025490051,-0.1198230685355016,1,0,0,0,1
7579,peoplesworld.org,3,-0.7354662012071614,-0.5310208406637251,-0.6808418332364935,1.2933846030812586,1.566059179880768,1,0,0,0,1
7580,elitemanmagazine.com,3,-0.0892015044222913,-0.3469483266262643,-0.5347077528738478,0.1553857235340252,0.9465123465405136,1,0,0,0,1
7581,opalpublishing.ca,3,0.7323060997401944,0.5488712416893793,0.5572645983013303,-1.0187658289236574,-0.7911973773571039,1,0,0,0,1
7582,inquiryintoislam.com,3,0.526961402744633,0.8311157632134861,0.2080679806582672,0.0260883450710303,0.2924138628793595,1,0,0,0,1
7583,georgereismansblog.blogspot.com,3,0.7360930459210745,-0.359219827562095,2.527256312026445,-0.1466448667992695,0.3722400894828165,1,0,0,0,1
7584,brentwelder.com,3,0.7651998876924013,0.3893417295235796,0.8279229284777581,-0.8721520777498111,0.0791467798641569,1,0,0,0,1
7585,equestriantherapy.com,3,0.7326829040473176,0.0211967014486576,-0.2616410678637123,-0.6372908017184147,0.374622961918741,1,0,0,0,1
7586,sitesuccessful.com,3,-1.2482417875510978,-0.3469483266262643,-0.5661308672822587,0.245493914813113,0.672482016409247,1,0,0,0,1
7587,thegreatpeacemakers.com,3,1.0331010712756643,-0.5923783453428789,0.8170371894459083,-0.7167352385903627,-0.8962423372407564,1,0,0,0,1
