source,target,weight
townhall.com,dailycaller.com,21500.0
frontiersin.org,pnas.org,21800.0
watchdog.org,fairus.org,960.0
thewashingtonstandard.com,freedomoutpost.com,1200.0
defendevropa.org,voiceofeurope.com,72.0
allenwestrepublic.com,americanewshub.com,4.0
pravdareport.com,strategic-culture.org,1300.0
theblacksphere.net,conservativefiringline.com,197.0
truth-out.org,democracynow.org,10000.0
conservativehq.com,thewashingtonstandard.com,215.0
polygraph.info,factcheck.org,5100.0
americannewsx.com,forwardprogressives.com,357.0
projectveritas.com,amgreatness.com,164.0
mirror.co.uk,dailymail.co.uk,101900.0
gopusa.com,pacificpundit.com,92.0
therebel.media,ipolitics.ca,832.0
miaminewtimes.com,miamiherald.com,15000.0
newsandgutsmedia.com,newsandgutsmedia.com,0.5
clashdaily.com,libertyunyielding.com,345.0
takimag.com,vdare.com,2100.0
theatlantic.com,npr.org,77200.0
libcom.org,jacobinmag.com,690.0
mcall.com,pennlive.com,5400.0
therantidote.com,therantidote.com,0.5
unclesamsmisguidedchildren.com,thepostemail.com,238.0
puppetstringnews.com,bigleaguepolitics.com,172.0
opednews.com,consortiumnews.com,2500.0
chicago.suntimes.com,wgntv.com,2600.0
libertyheadlines.com,patrioticviralnews.com,59.0
thewalrus.ca,ipolitics.ca,848.0
twitchy.com,redstate.com,4400.0
rawstory.com,crooksandliars.com,5800.0
frontpagemag.com,americanthinker.com,6900.0
memri.org,middleeastmonitor.com,512.0
clickhole.com,splinternews.com,255.0
courier-journal.com,kentucky.com,4600.0
mlive.com,detroitnews.com,4900.0
votesmart.org,opensecrets.org,5300.0
forward.com,timesofisrael.com,7500.0
oathkeepers.org,freedomoutpost.com,1200.0
foxnews.com,cnn.com,153500.0
historynewsnetwork.org,americanheritage.com,1600.0
defiantamerica.com,defiantamerica.com,0.5
crooksandliars.com,rawstory.com,10500.0
vdare.com,unz.com,6200.0
villagevoice.com,amny.com,2100.0
afr.com,theaustralian.com.au,10900.0
trofire.com,washingtonmonthly.com,5400.0
twitchy.com,townhall.com,9400.0
newser.com,dailycaller.com,21300.0
ibtimes.com,heavy.com,16000.0
addictinginfo.org,addictinginfo.org,0.5
newsbiscuit.com,newsthump.com,369.0
leftsideofhistory.com,leftsideofhistory.com,0.5
huzlers.com,leadstories.com,147.0
theamericanmirror.com,freebeacon.com,4200.0
adelaidenow.com.au,couriermail.com.au,3300.0
o4anews.com,tribunist.com,178.0
fpri.org,carnegieendowment.org,3200.0
washingtonpress.com,shareblue.com,181.0
webmd.com,healthline.com,8600.0
salon.com,thehill.com,17500.0
amazingnews.net,amazingnews.net,0.5
spiegel.de,zeit.de,11800.0
usaconservativereport.com,usaconservativereport.com,0.5
independent.co.uk,dailymail.co.uk,101900.0
mondoweiss.net,middleeastmonitor.com,512.0
progresstribune.com,progresstribune.com,0.5
oann.com,voiceofeurope.com,73.0
techxplore.com,medicalxpress.com,3100.0
politicalmayhem.news,politicalmayhem.news,0.5
businessinsider.com,cnn.com,153500.0
understandrealitythroughscience.blogspot.com,understandrealitythroughscience.blogspot.com,0.5
americanprogress.org,migrationpolicy.org,1500.0
memri.org,algemeiner.com,1700.0
cis.org,cato.org,7900.0
thegatewaypundit.com,pjmedia.com,3100.0
viralliberty.com,viralliberty.com,0.5
usatoday.com,cnn.com,153500.0
frc.org,afa.net,1700.0
oann.com,judicialwatch.org,3200.0
newsday.com,nydailynews.com,41500.0
globalvoices.org,globalvoices.org,0.5
bluestemprairie.com,alphanewsmn.com,188.0
therealnews.com,consortiumnews.com,2500.0
fedsoc.org,scotusblog.com,4200.0
democracynow.org,theintercept.com,308.0
cato.org,cis.org,1700.0
intellectualtakeout.org,thefederalistpapers.org,687.0
drudge.com,drudgereport.com,7000.0
pjmedia.com,theamericanmirror.com,722.0
defenseone.com,breakingdefense.com,675.0
splinternews.com,jezebel.com,10200.0
reductress.com,thehardtimes.net,223.0
americanmilitarynews.com,ilovemyfreedom.org,95.0
ronpaulinstitute.org,strategic-culture.org,1300.0
truthinmedia.com,capitalresearch.org,536.0
antiwar.com,truthdig.com,4900.0
dailydems.com,dailydems.com,0.5
hoover.org,cato.org,7900.0
projectveritas.com,theamericanmirror.com,722.0
thebaffler.com,jacobinmag.com,704.0
americantruthseekers.com,americantruthseekers.com,0.5
carolinapublicpress.org,citizen-times.com,2400.0
zeit.de,spiegel.de,32600.0
newsbreakshere.com,newsbreakshere.com,0.5
patriotupdate.com,patriotupdate.com,0.5
leftscoop.com,leftscoop.com,0.5
faithwire.com,christianpost.com,8100.0
afa.net,onenewsnow.com,2000.0
cnsnews.com,pjmedia.com,3100.0
pmnightlynews.com,pmnightlynews.com,0.5
washingtontimes.com,dailycaller.com,21500.0
freedomoutpost.com,thewashingtonstandard.com,215.0
cbsnews.com,foxnews.com,55800.0
thenews.com.pk,dawn.com,15400.0
politifact.com,thehill.com,17100.0
wsj.com,bloomberg.com,53500.0
faithwire.com,lifenews.com,3500.0
thesun.co.uk,metro.co.uk,14900.0
foxnews.com,cbsnews.com,47700.0
theverge.com,techcrunch.com,32500.0
express.co.uk,thesun.co.uk,18000.0
getreligion.org,baptistnews.com,135.0
vdare.com,takimag.com,1500.0
breitbart.com,dailycaller.com,21500.0
prospect.org,jacobinmag.com,704.0
meanlefthook.com,meanlefthook.com,0.5
newcenturytimes.com,newcenturytimes.com,0.5
everydayfeminism.com,bitchmedia.org,106.0
ronpaulinstitute.org,ahtribune.com,358.0
heavy.com,people.com,19100.0
conservativehq.com,onenewsnow.com,2000.0
constitution.com,eaglerising.com,273.0
madworldnews.com,bizpacreview.com,4000.0
adelaidenow.com.au,dailytelegraph.com.au,6000.0
getreligion.org,religionnews.com,2500.0
hoover.org,aei.org,5300.0
mirror.co.uk,express.co.uk,14900.0
americanthinker.com,pjmedia.com,3100.0
recode.net,techcrunch.com,32500.0
wsws.org,consortiumnews.com,2500.0
thehill.com,washingtonexaminer.com,8700.0
weeklystandard.com,freebeacon.com,4300.0
cbsnews.com,usatoday.com,72800.0
metro.co.uk,thesun.co.uk,18000.0
thinkprogress.org,thehill.com,17100.0
newrepublic.com,thehill.com,17100.0
forwardprogressives.com,americannewsx.com,81.0
christianpost.com,christianitytoday.com,8700.0
uproxx.com,pastemagazine.com,13600.0
foxnews.com,usatoday.com,72800.0
discovermagazine.com,newscientist.com,22900.0
eagletribune.com,unionleader.com,3000.0
healthline.com,webmd.com,38900.0
news.harvard.edu,healthline.com,8800.0
news.com.au,thesun.co.uk,18000.0
americablog.com,londonwebnews.com,12.0
mtstandard.com,missoulian.com,2400.0
truthexaminer.com,truthexaminer.com,0.5
newswithviews.com,frontpagemag.com,6200.0
news24.com,timeslive.co.za,3300.0
cctv-america.com,cctv-america.com,0.5
thewest.com.au,9news.com.au,1300.0
oppositionreport.com,oppositionreport.com,0.5
splinternews.com,deadspin.com,6500.0
ifyouonlynews.com,occupydemocrats.com,536.0
politifact.com,factcheck.org,5100.0
americanthinker.com,amgreatness.com,164.0
greenleft.org.au,newmatilda.com,569.0
legitgov.org,bb4sp.com,50.0
dailymail.co.uk,theguardian.com,66600.0
dcstatesman.com,steadfastandloyal.com,55.0
dawn.com,thenews.com.pk,3700.0
migrationpolicy.org,fairus.org,949.0
pri.org,aljazeera.com,19400.0
economictimes.indiatimes.com,ndtv.com,15200.0
usasupreme.com,politifeed.net,14.0
thecitizenpress.com,thecitizenpress.com,0.5
pluralist.com,babylonbee.com,455.0
bizstandardnews.com,nova-magazine.net,10.0
